losses,metrics,optimizers,actovatons1,actovatons2,acc,ture_acc
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99166683356,0.9606
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.990150163571,0.9511
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.95975005875,0.9632
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.863916687667,0.8624
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993125160535,0.964
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992041841149,0.9571
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966416719059,0.9668
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959666709105,0.9613
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992950168749,0.9635
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991800174117,0.957
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.963666709761,0.9655
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959750043849,0.9581
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967666710416,0.9705
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960583371421,0.9574
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993533529341,0.9675
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991591823598,0.9572
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965916698178,0.9644
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957416713238,0.9564
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992033494016,0.9599
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966833380361,0.969
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959666694204,0.9597
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'sigmoid', 'softmax',0.953000018994,0.9544
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'sigmoid', 'softmax',0.933416716754,0.9275
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'sigmoid', 'softmax',0.935166701674,0.9288
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991008490324,0.9526
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.976875163615,0.8745
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957333363593,0.9617
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.950833365321,0.9531
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993875163297,0.9692
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992400184274,0.9557
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.961250046889,0.9643
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957750044763,0.9553
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993216827512,0.9663
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991941832006,0.9564
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964416705072,0.9589
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957833381991,0.9612
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991891833643,0.9613
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.989725165069,0.9494
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958916708827,0.962
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.862583349148,0.8606
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99344184498,0.9666
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992166829606,0.9577
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965833375851,0.969
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958750036856,0.9555
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993550168971,0.9701
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991925174991,0.9572
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.969083353877,0.97
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960666701198,0.955
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99186681211,0.9611
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.965650141239,0.777
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958916691442,0.9583
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.946916711827,0.9488
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993616834283,0.9743
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991666831076,0.9563
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966000045339,0.9673
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958250043293,0.9566
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993641835948,0.9674
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992266848683,0.9599
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965583396455,0.9658
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958416712781,0.9513
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991866827011,0.9581
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978450151781,0.8606
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.960250034928,0.9595
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.858833350241,0.8593
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99333350112,0.969
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992041836182,0.9518
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.962750049929,0.969
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.956750042737,0.9506
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993333496153,0.9664
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992241847018,0.9523
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965166707834,0.9639
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957916716735,0.9535
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991866829495,0.9581
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.9901918148,0.9528
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958833374083,0.9622
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.862083348135,0.8581
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993441840013,0.9725
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991950169206,0.9569
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966333356996,0.9675
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.96050003916,0.9591
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992950168749,0.9665
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991691845159,0.9566
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.962916704516,0.9556
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958583384752,0.9513
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991675168276,0.9617
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.98917517066,0.9432
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.959333365162,0.9577
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.950750035544,0.9498
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993583507836,0.9691
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991808503866,0.9517
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.962583377957,0.9615
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959916705887,0.9562
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993575168153,0.9685
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992100174228,0.9546
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.963500037789,0.9673
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958916706343,0.9523
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991491826872,0.9606
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.989566820363,0.9467
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.959500032167,0.9585
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.948500014842,0.9517
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993483501176,0.97
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991766842703,0.9537
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965666718781,0.9643
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960916720331,0.9589
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992733513316,0.9701
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.99223348995,0.9582
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966000042856,0.965
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958333368103,0.9549
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991975173354,0.9617
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.989958502352,0.9503
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.960666698714,0.9594
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.871166683733,0.8712
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99387516578,0.9701
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992241844535,0.9585
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967000037432,0.9702
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958833384017,0.9552
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993841831883,0.9675
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991883503894,0.9535
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964000036319,0.9663
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957250023882,0.9565
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991933484872,0.9614
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.979225166142,0.8534
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.95741670082,0.9563
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.860833351811,0.8641
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993066842357,0.9511
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991875184079,0.9554
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966250032187,0.9648
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957916711768,0.9569
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993033505976,0.9657
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991733511289,0.9585
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965166710317,0.9647
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958666717013,0.957
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991775160034,0.9608
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.977775173883,0.8598
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.954500049353,0.9553
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.771416674058,0.7646
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993408493698,0.9704
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992300180097,0.9582
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966833367944,0.969
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958833364149,0.957
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993125150601,0.9677
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992200170954,0.9539
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.96233338366,0.9611
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.956583378216,0.9552
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991916842759,0.96
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.979375176132,0.8624
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.960000025729,0.9622
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.948750031491,0.9461
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993241839111,0.9674
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992433500787,0.9618
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.963750034571,0.9638
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957416695853,0.9564
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993358527621,0.9668
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991675168276,0.953
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966166712344,0.9705
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960500026743,0.9583
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99183349063,0.9615
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.981033508976,0.8605
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957000051936,0.9575
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.866250013312,0.8639
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.9931668366,0.9651
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.99157517155,0.9529
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966000055273,0.9664
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957583375275,0.9573
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993591830134,0.9681
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991941854358,0.9608
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965000038346,0.9672
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958333355685,0.9568
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991375175615,0.9584
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978008491298,0.8535
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.95725004375,0.9606
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.950083360076,0.9495
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993216839929,0.9656
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991575186451,0.9553
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967416703701,0.968
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960416704416,0.9533
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993091819187,0.9667
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992183506489,0.9584
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966416694224,0.9666
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957250041266,0.956
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991825175782,0.9602
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.980333509545,0.8602
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957500047982,0.9583
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.946666695178,0.9511
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993225157261,0.9668
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.99184182783,0.9571
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964333382746,0.9694
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.956916707257,0.9561
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99347517391,0.9671
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992075160146,0.9584
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964583362142,0.9656
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959750046333,0.9585
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991975160937,0.9617
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.98972517252,0.9472
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957000042001,0.9595
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.857750025888,0.8584
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.994016828636,0.9687
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992083492378,0.9588
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.96433335791,0.9682
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958750041823,0.954
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992891848087,0.9708
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991891848544,0.9528
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966666710873,0.9646
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958416695396,0.9553
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991416831811,0.9593
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.979100160301,0.8575
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.955166699986,0.9547
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.950500033796,0.9504
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993300174673,0.9679
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.9918085138,0.9527
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.968333370984,0.9702
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958250038326,0.9549
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993200190365,0.969
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992150187492,0.9548
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966583386064,0.9738
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958583364884,0.9596
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992350161076,0.9605
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978683489064,0.8597
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958166686197,0.9585
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.857416684429,0.8583
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993433487912,0.9697
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992366828024,0.9577
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.968583372732,0.9735
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958833369116,0.9614
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993308511873,0.9708
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991708494723,0.9551
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964333372811,0.9686
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959083378315,0.9525
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992100161811,0.9602
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978075154126,0.8594
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958583372335,0.9609
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.948000043631,0.9513
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99338350445,0.9716
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992166849474,0.9535
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967250041664,0.9672
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958583387236,0.9595
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993166834116,0.968
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991733493904,0.9585
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965333382289,0.9681
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959166688224,0.9532
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992041831215,0.9574
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.990733511746,0.9524
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958916708827,0.9567
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.949916710456,0.9529
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993400163949,0.97
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991975180805,0.9568
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967666715384,0.9718
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959750038882,0.9578
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993008496861,0.9655
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991758495569,0.9615
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966500038902,0.9671
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.956000027557,0.9555
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991750160853,0.9593
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978450176617,0.8585
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957833379507,0.9598
